roll	type	description
1	Refugee camp	Settlement of displaced Ashwalkers and Voided; needs supplies or protection
2	Faction recruiter	All three claimants have agents here; each approaches party separately
3	Desperate merchant	Salvage trader selling stripped chassis parts; some from recently fallen Forged
4	Iron Blessed community	Unregistered Iron Blessed living communally; fear Orthodoxy raids
5	Diminished network	Information-sharing network; will trade intel for discretion
6	River phenomenon	Ash River carries resonance runoff from Sunder; strange effects on Forged nearby
7	Korrath conscription raid	Forcible recruitment sweep; Ashwalker and Voided have no legal protection
8	Vaen rumor	Multiple witnesses report seeing Vaen crossing the river; trail is fresh
9	Hollow Author evidence	A cluster of people all received identical dreams last night; party investigates
10	Convergence pressure	Unusual resonance buildup suggests Convergence is accelerating; urgency encounter